text,label
qiyom,diniy
sajda,diniy
ruku,diniy
ka'ba,diniy
kahf,diniy
kafforat,diniy
kafan,diniy
kalima,diniy
kavsar,diniy
kaafirun,diniy
josiya,diniy
masjid,diniy
jome',diniy
jome,diniy
joynamoz,diniy
jin,diniy
jahannam,diniy
jasad,diniy
janoza,diniy
jannat,diniy
jabroil,diniy
isha'yo,diniy
ixlos,diniy
iftor,diniy
is'hoq,diniy
,diniy,diniy
din,diniy
islom,diniy
imom,diniy
iqomat,diniy
iyso,diniy
iymon,diniy
iyd,diniy
qurbon,diniy
shayton,diniy
hujurot,diniy
hud,diniy
hijriy,diniy
hijrat,diniy
hijr,diniy
haqqo,diniy
hayit,diniy
umra,diniy
haj,diniy
hadis,diniy
hadid,diniy
savob,diniy
gunoh,diniy
fussilat,diniy
furqon,diniy
fotir,diniy
sadaqa,diniy
fitr,diniy
fil surasi,diniy
fath,diniy
fatvo,diniy
farz,diniy
falaq,diniy
fajr,diniy
ehtilom,diniy
ehson,diniy
buruj,diniy
bomdod,diniy
banda,diniy
badal,diniy
baqara,diniy
bay'at,diniy
baytulloh,diniy
ramazon,diniy
ro'za,diniy
namoz,diniy
asr,diniy
arafot,diniy
arafa,diniy
ansor,diniy
anbiyo,diniy
amri ma'ruf,diniy
amin,diniy
alhamdulillah,diniy
allohu akbar,diniy
alloh,diniy
alaq,diniy
alayhissalom,diniy
aqiyda,diniy
aqaba,diniy
ayyub,diniy
aimma,diniy
azroil,diniy
azob,diniy
azozil,diniy
ajr,diniy
yomon emas,positive
bir tiyin,negative
yaxshi emas,negative
xavf,negative
sanam,negative
but,negative
zino,negative
xiyonat,negative
qasd,negative
kibr,negative
g'azab,negative
munofiq,negative
qo'rqoq,negative
yolg'on,negative
pastkash,negative
maqtanchoq,negative
yovuzlik,negative
yengiltak,negative
besabr,negative
bemehr,negative
tartibsiz,negative
axloqsiz,negative
yomon,negative
xasis,negative
beodob,negative
xasad,negative
do'zax,negative
dahriy,negative
ateist,negative
hasadgo'y,negative
mag’lubiyat,negative
mag'lubiyat,negative
sabrsizlik,negative
charchoq,negative
qo’rquv,negative
qo'rquv,negative
og’riq,negative
og'riq,negative
stress,negative
o'lim,negative
kasal,negative
halokat,negative
xuruj,negative
sindrom,negative
diabet,negative
xolesterin,negative
abort,negative
nurlanish,negative
o`simta,negative
tromb,negative
epidemiya,negative
bakteriya,negative
pandemiya,negative
virus,negative
qon yo`qotish,negative
jarohat,negative
anemiya,negative
bemor,negative
gipertoniya,negative
infark,negative
angina,negative
yurak xuruji,negative
saraton,negative
qon bosimi,negative
buzg’unchi g’oya,negative
buzg'unchi g'oya,negative
buzg’unchi,negative
buzg'unchi,negative
farosatsizlik,negative
bilimsizlik,negative
chekish,negative
ilmsizlik,negative
dangasalik,negative
ishonchsizlik,negative
kasallik,negative
siqilish,negative
tushkunlik,negative
o'g'irlik,negative
korrupsiya,negative
pasayish,negative
qulash,negative
sanksiya,negative
kambag'allik,negative
afsuski,negative
qobiliyatsiz,negative
to'xtatish,negative
muammo,negative
xato,negative
yo'qotish,negative
muvaffaqiyatsiz,negative
omadsizlik,negative
zarar,negative
qarz,negative
bankrot,negative
bankrotlik,negative
monopoliya,negative
blokirovka,negative
jarima,negative
chromedabiror narsa qidirib kirsang har xil reklama chiqaradi eng katta xalaqit beradigan narsa shu,negative
telegram messengeri odamlarni eng kop vaqtini oladi,negative
shareit bu joyda har xil kliplar saqlanadi shularni olib tashlasa maqsadga muvofiq boladi,negative
ovozli pochta yuborsa bolmaydi,negative
odamni eng kop vaqtini oladi katta zarar yetkazadi,negative
ko'zga zarari juda katta,negative
ilovalarni yuklab olish juda qiyin kechadi,negative
kop virus yuklab oladi apparat qotib ishlaydi,negative
internet yaxshi ishlamaydi juda yomon,negative
internet trafiklari juda qimmat,negative
reklamalar odamlarga katta zarar yetkazadi,negative
salbiy tasir korsatadigan rekamalar juda kop,negative
dasturchilar kop ishlamayapti yaxshi dasturlar yoq,negative
instagram yomon messenger kop vaqtni oladi va kop zarar yetkazadi,negative
tekin deydiyu lekin hecham tekin bolmaydi ancha trafik ketadi,negative
orginal emas faqat insonlarni chalgitish uchun fikrini bolish uchun qoyiladi bu narsalar,negative
ilovalar yaxshi ishlamaydi faqat qotib qoladi,negative
kompyuterga yuklab olsang faqat virus o'tadi boshqa narsa emas,negative
antiviruslar faqat 1 haftalik emas 1 oylik yoki 1 yillik qilib yaratilsin,negative
reklamalar shu darajada yomonki insonga faqat va faqat zarar kelriradi,negative
tashqi korinishi ustida tajribaliinsonlar ishlamaydi,negative
hamma ham dasturchi bolavermaydi faqat tajribali kishilar bo'lsin,negative
youyube da eski narsalarni olib tashlash kerak,negative
biror bir klip yoki qoshiq yuklab olishda juda kop trafik ketadi bu juda salbiy xolat,negative
whatsapp umuman ishlamaydi qotishdan boshqa narsaga yaramaydi,negative
mabogram messengerida ovozli xabar jonatib bo'lmaydi shuni yaratsa juda yaxshi boladi,negative
oziga jalb qiladigan korinish dizayn yoq,negative
dasturni kamchiliklari kop ishlatishda noqulayliklar bor,negative
dastur ustida professional kishilar ishlamayapti,negative
kodlar kop tushunish juda qiyin,negative
foydalanish uchun malumotlar yetarli emas,negative
faqato'rin egallaydi boshqa foydasi yoq,negative
kopchilik bunga qiziqish bilan qaramaydi,negative
chalgitadigan narsalar kop uchraydi,negative
buyurtma qilishda muammolar uchraydi yetkazib berilishi qiyin kechadi,negative
aloqada nosozliklar kop uchrab asabni kop buzadi,negative
yetkazib beruvchilar oz ustida ishlamaydi,negative
online bozor yaxshi rivojlanmagan,negative
buyumlar juda qimmat turadi,negative
narsalar sifatli emas pulingga achinasan,negative
juda qimmat turadi sifati yaxshi emas,negative
faqat va faqat zarar keltiradi,negative
begonalar ham yozaveradi yozmasligi kerak,negative
ilovaga kirish yaxshi yolga qoyilmagan,negative
xavfli jihatlari kop faqat zarar keltiradi,negative
yomon tasir qiladigan oyinlar kop qoyiladi,negative
xaritalar yaxshi rivojlantirilmagan joylar to'g'ri korsatilmagan,negative
online kirish chiqish yolga qoyilmagan,negative
xotirada saqlab olish qiyin virus kop otadi,negative
videoqongiroq hamma apparatlarga qoyilmagan,negative
profilga 80 tadan ortiq rasm qoyib bolmaydi,negative
rasmlarni qoyishda muammolar kop uchraydi,negative
apparatlar juda kop yangilanish talab qiladi,negative
bluetoothni yoqib qoyganda kodlanmasa atrofdagilar hamma korishi mumkin,negative
shareit kodlanmasa atrofdagi apparatlar hamma narsani korishi mumkin,negative
online tolov tizimida noqulayliklar kop,negative
tolovlar vaqtida to'lanmaydi kechikishlar kop boladi,negative
kommentariyalar yozish qiyin kechadi,negative
